"","...1","outcome","subgroup","class","RR","RRlow","RRhigh","P_val_overall"
"105",105,"All-cause","nonfire","high",1.08727544943629,1.08593848696298,1.08861405792241,0
"106",106,"Substance use","nonfire","high",1.04863749727141,1.04532631808052,1.05195916496474,0
"107",107,"Schizophrenia","nonfire","high",1.10945886623953,1.10513136541823,1.11380331279593,0
"108",108,"Bipolar affective disorder","nonfire","high",1.04903268184121,1.0416631886332,1.05645431227625,0
"109",109,"Depression","nonfire","high",1.10519385742266,1.10046581129414,1.10994221714927,0
"110",110,"Anxiety","nonfire","high",1.12248716288549,1.11712180513406,1.12787828959395,0
"111",111,"Other","nonfire","high",1.08288611567466,1.08090941851611,1.084866427689,0
"112",112,"Unspecified","nonfire","high",1.12194533982394,1.11434983320143,1.12959261808865,0
"113",113,"All-cause","age","0-4",1.012124077,1.008505885,1.01575525,NA
"114",114,"Substance use","age","0-4",1.04960815,1.009683766,1.091111204,NA
"115",115,"Schizophrenia","age","0-4",1.163541548,1.142300187,1.185177898,NA
"116",116,"Bipolar affective disorder","age","0-4",1.086615699,1.049002805,1.125577236,NA
"117",117,"Depression","age","0-4",1.083615968,1.064523077,1.103051302,NA
"118",118,"Anxiety","age","0-4",1.111066421,1.086589053,1.136095186,NA
"119",119,"Other","age","0-4",0.995943876,0.991675204,1.000230922,NA
"120",120,"Unspecified","age","0-4",1.043103983,1.027358633,1.059090646,NA
"121",121,"All-cause","age","5-9",1.015559727,1.013777586,1.017345001,NA
"122",122,"Substance use","age","5-9",1.029417788,0.995016809,1.065008121,NA
"123",123,"Schizophrenia","age","5-9",1.093568851,1.07577339,1.111658685,NA
"124",124,"Bipolar affective disorder","age","5-9",1.044129182,1.02201072,1.066726333,NA
"125",125,"Depression","age","5-9",1.075134954,1.063968801,1.086418295,NA
"126",126,"Anxiety","age","5-9",1.040617916,1.031770614,1.049541082,NA
"127",127,"Other","age","5-9",1.015303286,1.013033654,1.017578004,NA
"128",128,"Unspecified","age","5-9",1.004499316,1.000195414,1.008821739,NA
"129",129,"All-cause","age","10-19",1.014445714,1.013597856,1.015294281,NA
"130",130,"Substance use","age","10-19",1.01060873,1.008129128,1.01309443,NA
"131",131,"Schizophrenia","age","10-19",1.035429979,1.032156237,1.038714105,NA
"132",132,"Bipolar affective disorder","age","10-19",1.015901516,1.009206136,1.022641315,NA
"133",133,"Depression","age","10-19",1.025643163,1.022492543,1.028803491,NA
"134",134,"Anxiety","age","10-19",1.028400843,1.025092569,1.031719794,NA
"135",135,"Other","age","10-19",1.024634013,1.022985711,1.02628497,NA
"136",136,"Unspecified","age","10-19",1.000794969,0.998807969,1.002785922,NA
